le2m | 19/12/2015 - 10:16:00 | INFO | Dim-Latitude-E6520 (j0): 30
le2m | 19/12/2015 - 10:16:00 | INFO | Dim-Latitude-E6520 (j1) Period Payoff 22
le2m | 19/12/2015 - 10:16:00 | INFO | Dim-Latitude-E6520 (j1): 22
le2m | 19/12/2015 - 10:16:00 | INFO | run_step: Summary
le2m | 19/12/2015 - 10:16:00 | INFO | SUMMARY
le2m | 19/12/2015 - 10:16:00 | INFO | Dim-Latitude-E6520 (j2): Ok
le2m | 19/12/2015 - 10:16:00 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:16:00 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:19:38 | INFO | Ok Summary
le2m | 19/12/2015 - 10:19:38 | INFO | Montant moyen investi
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j2)     4
Dim-Latitude-E6520 (j1)     6
Dim-Latitude-E6520 (j3)     3
Dim-Latitude-E6520 (j0)    10
le2m | 19/12/2015 - 10:19:38 | INFO | Calcul des gains de la partie GneezyPotter
le2m | 19/12/2015 - 10:19:38 | INFO | Gains de la partie GNEEZYPOTTER
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j2) gain ecus: 6.0, gain euros: 6.00
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j2): 6.0
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j3) gain ecus: 7.0, gain euros: 7.00
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j3): 7.0
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j0) gain ecus: 30.0, gain euros: 30.00
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j0): 30.0
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j1) gain ecus: 22.0, gain euros: 22.00
le2m | 19/12/2015 - 10:19:38 | INFO | Dim-Latitude-E6520 (j1): 22.0
le2m | 19/12/2015 - 10:19:38 | INFO | heure de fin: 10:19:38
le2m | 19/12/2015 - 10:19:38 | INFO | OK GNEEZYPOTTER
le2m | 19/12/2015 - 10:19:38 | INFO | OK GNEEZYPOTTER
le2m | 19/12/2015 - 10:22:56 | INFO | COMMONPOOLRESOURCE
le2m | 19/12/2015 - 10:22:56 | INFO | COMMONPOOLRESOURCE
le2m | 19/12/2015 - 10:22:56 | INFO | run_func: add_part
le2m | 19/12/2015 - 10:22:56 | INFO | Dim-Latitude-E6520 (j0): Part CommonPoolResource loaded
le2m | 19/12/2015 - 10:22:56 | INFO | Dim-Latitude-E6520 (j2): Part CommonPoolResource loaded
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j3): Part CommonPoolResource loaded
le2m | 19/12/2015 - 10:22:57 | INFO | Dim-Latitude-E6520 (j1): Part CommonPoolResource loaded
le2m | 19/12/2015 - 10:22:57 | INFO | La partie ne va pas s'arrêter à la période suivante
le2m | 19/12/2015 - 10:22:57 | INFO | Heure de début: 10:22:57
le2m | 19/12/2015 - 10:22:57 | INFO | Groupes
-- G0 --:
Dim-Latitude-E6520 (j1)
Dim-Latitude-E6520 (j2)
Dim-Latitude-E6520 (j0)
Dim-Latitude-E6520 (j3)
le2m | 19/12/2015 - 10:22:57 | INFO | run_func: configure
le2m | 19/12/2015 - 10:22:57 | INFO | Période 1
le2m | 19/12/2015 - 10:22:57 | INFO | Période 1
le2m | 19/12/2015 - 10:22:57 | INFO | run_func: newperiod
